player_name,shots,avg_shot_dist,avg_def_dist,avg_touch_time,avg_dribbles,three_rate,makes_above_expected,cluster,archetype
jarrett jack,612,14.502124183006535,3.913562091503268,5.480555555555555,5.503267973856209,0.17647058823529413,24.883697509765625,1,On-Ball Creators
rudy gay,879,13.049488054607508,3.5773606370875997,3.650170648464164,2.6951080773606373,0.1831626848691695,23.94418334960937,1,On-Ball Creators
dwayne wade,703,12.444238975817923,3.3799431009957326,4.175817923186344,3.3641536273115222,0.08392603129445235,23.640777587890625,1,On-Ball Creators
darren collison,550,15.296181818181818,4.267818181818182,4.912181818181818,4.663636363636364,0.2927272727272727,22.107925415039062,1,On-Ball Creators
james harden,1054,14.850759013282733,3.762333965844402,5.688804554079696,4.907969639468691,0.38519924098671726,18.393524169921875,1,On-Ball Creators
andre miller,174,8.507471264367815,2.8982758620689655,5.408045977011494,5.109195402298851,0.05747126436781609,16.672897338867188,1,On-Ball Creators
ben gordon,255,16.661176470588238,3.9913725490196077,3.3858823529411763,2.6862745098039214,0.3254901960784314,16.396080017089844,1,On-Ball Creators
cory joseph,346,9.992196531791908,3.457514450867052,3.8450867052023123,4.034682080924855,0.1069364161849711,15.089202880859377,1,On-Ball Creators
beno urdih,356,14.86123595505618,4.373033707865169,3.6022471910112364,3.4831460674157304,0.21629213483146068,14.304443359375,1,On-Ball Creators
jeremy lin,515,14.412815533980583,3.7454368932038835,5.087378640776699,4.662135922330097,0.2854368932038835,13.531112670898438,1,On-Ball Creators
jamal crawford,803,18.795018679950186,3.8432129514321294,3.5647571606475714,3.2552926525529267,0.42963885429638854,12.538787841796877,1,On-Ball Creators
aaron brooks,561,15.088591800356507,3.671836007130125,4.959180035650624,5.402852049910874,0.38859180035650626,9.047592163085938,1,On-Ball Creators
brian roberts,372,18.702956989247312,4.75,3.6120967741935486,3.303763440860215,0.4112903225806452,8.789016723632812,1,On-Ball Creators
jrue holiday,508,13.255118110236221,3.9549212598425196,5.16988188976378,5.206692913385827,0.25,7.911468505859375,1,On-Ball Creators
lou williams,679,18.770544918998528,4.188954344624448,4.593225331369662,4.0382916053019144,0.4889543446244477,6.73004150390625,1,On-Ball Creators
ty lawson,733,14.229467939972716,4.401091405184174,5.3669849931787175,5.18281036834925,0.2291950886766712,6.490203857421875,1,On-Ball Creators
gordon hayward,867,14.71833910034602,4.551672433679355,3.52479815455594,2.9538638985005767,0.3033448673587082,6.1016845703125,1,On-Ball Creators
nick young,473,19.037209302325582,3.49830866807611,3.495137420718816,2.8456659619450315,0.47357293868921774,5.149566650390625,1,On-Ball Creators
donald sloan,338,14.391420118343197,3.4295857988165683,5.35,5.553254437869822,0.3698224852071006,3.591156005859375,1,On-Ball Creators
tony parker,560,12.885357142857144,3.7598214285714286,4.9817857142857145,5.692857142857143,0.12142857142857143,3.05169677734375,1,On-Ball Creators
reggie jackson,659,14.595295902883155,4.041578148710167,5.326251896813353,5.338391502276176,0.26707132018209406,2.775390625,1,On-Ball Creators
greivis vasquez,543,17.14051565377532,4.69060773480663,3.719889502762431,3.3333333333333335,0.4677716390423573,2.75811767578125,1,On-Ball Creators
mike conley,727,14.012242090784044,4.266162310866575,4.356808803301238,4.2833562585969736,0.2984869325997249,2.482696533203125,1,On-Ball Creators
jerryd bayless,403,15.008684863523573,4.776923076923077,4.040942928039702,3.553349875930521,0.22084367245657568,2.2837371826171875,1,On-Ball Creators
cj watson,301,17.10830564784053,4.762458471760797,3.6415282392026573,3.425249169435216,0.4119601328903654,2.245307922363281,1,On-Ball Creators
zach lavine,371,14.776010781671157,4.146630727762804,4.217250673854447,3.967654986522911,0.20754716981132076,1.5542755126953125,1,On-Ball Creators
ray mccallum,240,13.272083333333335,4.07375,3.600416666666667,3.4208333333333334,0.225,1.0130081176757812,1,On-Ball Creators
goran dragic,753,11.740106241699866,4.126826029216468,3.226958831341302,2.8379814077025234,0.2695883134130146,0.795654296875,1,On-Ball Creators
kyle lowry,879,15.975995449374288,3.906029579067122,5.238111490329921,5.097838452787259,0.3594994311717861,0.472747802734375,1,On-Ball Creators
john wall,874,14.325514874141877,4.508352402745996,5.604805491990847,5.591533180778032,0.18764302059496568,0.46478271484375,1,On-Ball Creators
damian lillard,986,16.33874239350913,4.149087221095335,5.114807302231237,4.953346855983773,0.4290060851926978,0.3944091796875,1,On-Ball Creators
