player_name,shots,fgm,points,expected_makes,fg_pct,efg_pct,expected_fg_pct,shot_quality_adjusted,fg_rank,efg_rank,adjusted_rank,rank_shift_vs_fg,rank_shift_vs_efg
beno urdih,356,174,365,159.69556,0.4887640449438202,0.5126404494382022,0.44858302427141855,0.040181020672401646,56.0,83.0,25.0,31.0,58.0
patrick patterson,405,188,460,179.1931,0.4641975308641975,0.5679012345679012,0.44245209870515045,0.021745432159047062,94.0,16.0,68.0,26.0,-52.0
jerryd bayless,403,180,390,177.71626,0.4466501240694789,0.4838709677419355,0.4409832824252675,0.0056668416442113845,131.0,164.0,105.0,26.0,59.0
cj mccollum,174,68,167,72.32436,0.39080459770114945,0.47988505747126436,0.4156572626925063,-0.024852664991356854,231.0,180.0,205.0,26.0,-25.0
nate robinson,202,69,162,78.504684,0.3415841584158416,0.400990099009901,0.3886370517239712,-0.04705289330812962,263.0,264.0,238.0,25.0,26.0
pj tucker,408,185,435,179.7157,0.4534313725490196,0.5330882352941176,0.44047965255438115,0.012951719994638455,111.0,56.0,86.0,25.0,-30.0
david west,513,245,494,229.95013,0.4775828460038986,0.48148148148148145,0.4482458757842958,0.029336970219602798,70.0,173.0,45.0,25.0,128.0
gordon hayward,867,389,875,382.89832,0.4486735870818916,0.5046136101499423,0.4416358886155565,0.007037698466335063,125.0,97.0,101.0,24.0,-4.0
nik stauskas,192,65,156,74.4813,0.3385416666666667,0.40625,0.3879234393437703,-0.04938177267710364,264.0,263.0,240.0,24.0,23.0
klay thompson,971,449,1075,430.98782,0.4624098867147271,0.5535530381050463,0.443859756422583,0.018550130292144085,97.0,23.0,74.0,23.0,-51.0
jeff green,714,300,669,305.12708,0.42016806722689076,0.4684873949579832,0.42734884481136204,-0.007180777584471276,182.0,199.0,160.0,22.0,39.0
richard jefferson,237,105,259,104.28729,0.4430379746835443,0.5464135021097046,0.44003076995978374,0.003007204723760537,139.0,39.0,118.0,21.0,-79.0
jerami grant,218,83,198,90.92506,0.38073394495412843,0.4541284403669725,0.41708741494275015,-0.03635346998862171,245.0,228.0,224.0,21.0,4.0
vince carter,283,94,232,110.18022,0.3321554770318021,0.4098939929328622,0.3893294047972339,-0.05717392776543179,265.0,262.0,245.0,20.0,17.0
kirk hinrich,314,113,271,127.25006,0.35987261146496813,0.4315286624203822,0.4052549714495422,-0.04538235998457407,257.0,250.0,237.0,20.0,13.0
manu ginobili,492,209,492,212.13086,0.4247967479674797,0.5,0.4311602832825203,-0.006363535315040636,175.0,109.0,155.0,20.0,-46.0
jared sullinger,665,298,646,294.74466,0.4481203007518797,0.4857142857142857,0.4432250517651551,0.00489524898672461,127.0,161.0,108.0,19.0,53.0
garrett temple,158,62,154,66.28187,0.3924050632911392,0.4873417721518987,0.41950549355036093,-0.02710043025922171,230.0,157.0,211.0,19.0,-54.0
